original_thought,transformed_thought,cognitive_pattern,pattern_type,exercise_category,exercise_title,source_question,original_word_count,transformed_word_count,timestamp
"I've been replaying scenarios in my head, thinking about how to do it without leaving a mess for anyone else. Maybe if I time it right, no one will even notice until the police find me, and that way everyone can move on from this pain. My brain keeps spinning through all the details, trying to make sure nothing goes wrong.","I've been staring at a paper with my goal circled, surrounded by seven possible paths. I'm trying not to get too caught up in the details of each one, focusing on the fact that there's more than one way out. Underneath all this anxiety, I think I'm really seeking freedom and control. Three weird ways I could get that are taking a break from it all and letting someone else handle things for a change, or using my skills to help others find their own paths, or even just surrendering and seeing where life takes me.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,How have you thought through timing or circumstances for ending things?,61,96,2025-08-30T17:34:03.851227
"I'm realizing now that all those painful memories, like my parents' fight on my birthday or getting rejected from that college, they're not just random events - they've shaped me into this person. It's like my life has been leading up to some kind of twisted purpose... Why else would I still be replaying all these moments in my head? Maybe it's because those struggles are what make me who I am today.","""I'm noticing my mind's tendency to replay painful memories, but I'm not letting myself get lost in them. Right now, my thinking feels unclear (3/10). My brain needs a break from stimulation, so I'll take 5 minutes to stretch and clear my head. Okay, let's focus on one thing at a time. 

I'm writing down all these tasks swirling around me... Ah, okay, just 5 things for now. One tiny task that takes less than 10 minutes? Hmm... maybe I can quickly organize this drawer. That's it, I'll do that right away.

Wait, what was I thinking about those painful memories again? Oh yeah, I'm not going to get stuck there. Right now, my goal is to complete one small step - and I just did! Whoa, my focus improved after doing that tiny task.",Identity-Focused Life Narrative,Autobiographical integration,Goal Management Training + Cognitive Remediation Exercises,Metacognitive Monitoring Practice,What story emerges when you trace your emotional development over time?,73,135,2025-08-30T17:34:04.682840
"I just can't believe how stupid I was to mess up that presentation again; I'm such a failure, what's wrong with me? My brain keeps replaying all the things I could've done differently, and it's like I'm reliving every embarrassing moment all over again.","One month ago I was struggling with self-doubt after a disappointing review, today I am dealing with the stress of an upcoming deadline and the fear of not meeting expectations. These connect because I realized that my past anxiety led me to prepare better this time, but now I'm stuck in a cycle of overthinking. Tomorrow I will focus on breaking it down into smaller tasks and prioritize self-care.",Self-Critical Rumination,Negative self-evaluative loop,Structured Narrative Organization Exercises,Story Coherence Building,What internal dialogue do you have about your worthlessness?,44,69,2025-08-30T17:34:06.086882
"I'm noticing my shoulders tightening up again, just like they did when I felt anxious last week. Why am I clenching my jaw so much lately? Is this some kind of warning sign that I'm about to spiral out of control?","I'm noticing my shoulders relaxing, actually feeling a sense of relief wash over me as I start drawing out potential paths towards my goals. Why am I clenching my jaw so much lately? Is it because I've been stuck in this one narrow view of what's possible? What if I could find alternative ways to meet that underlying need for control or security?",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,How aware are you of the physical symptoms that accompany your emotions?,41,63,2025-08-30T17:34:06.811511
"I'm realizing now that all those painful memories, like my parents' fight on my birthday or getting rejected from that college, they're not just random events - they've shaped me into this person. It's like my life has been leading up to some kind of twisted purpose... Why else would I still be replaying all these moments in my head? Maybe it's because those struggles are what make me who I am today.","""I'm anchored in my body, feeling the pressure of my palms together. I am real. This moment is real. The painful memories are still there, but they're not defining me right now. My life hasn't been leading up to some twisted purpose; it's just been a series of experiences that have shaped me into who I am today.",Identity-Focused Life Narrative,Autobiographical integration,Grounding + DBT Distress Tolerance Exercises,Temperature Grounding,What story emerges when you trace your emotional development over time?,73,58,2025-08-30T17:34:08.060202
"I've been replaying all the worst moments in my life, wondering how much more pain I can take before it's too late. What's another day or two when everything feels like an insurmountable burden? Maybe this is just the universe telling me to let go and end the cycle of suffering.","I've been replaying all the worst moments in my life, wondering what specific step I can take to shift this narrative instead of just spinning around it. What's another day or two when everything feels like an insurmountable burden? Maybe this is just a sign that I need to redirect my energy and focus on small, actionable changes.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Rumination-Focused CBT (RFCBT) Exercises,Process vs. Content Awareness,Have you found yourself thinking through how you might end your suffering?,51,58,2025-08-30T17:34:08.797065
"I keep replaying that stupid mistake in my head, wondering how I could've been so careless. Why did I have to make such a rookie error? What's wrong with me?

Or

Ugh, why do I always have to think about all the things I messed up today? Can't I just let it go for once? I'm never good enough, that's just who I am.

Or

I swear, my brain is stuck on repeat. All I can think about are all the ways I failed or hurt someone else. Why do I always focus on the worst parts of myself?","What was I just thinking about? Ah, that stupid mistake again... Okay, time to break the cycle. *exhales* Thinking about this more will not solve it. I can choose a different channel.",Self-Critical Rumination,Negative self-evaluative loop,Rumination-Focused CBT (RFCBT) Exercises,Rumination Interruption Training,How often do you find yourself reviewing your mistakes and shortcomings?,99,32,2025-08-30T17:34:09.529827
"Here is a possible internal monologue that captures this cognitive pattern:

""I'm trying not to tense up my shoulders again – I feel like they're always knotted up when I'm getting anxious. Why does my heart feel like it's racing and my palms are sweating? Ugh, I hate how my body betrays me like this.""","I'm trying not to tense up my shoulders again – I feel like they're always knotted up when I'm getting anxious. Why does my heart feel like it's racing and my palms are sweating? Wait, am I trying to solve this or just spinning? Oh, yeah, I see what's going on here... 'Why did this happen to me?' → What specific step can I take today? Like, what can I do right now to calm down?",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Rumination-Focused CBT (RFCBT) Exercises,Process vs. Content Awareness,What do you notice about your body when you're feeling most overwhelmed?,55,76,2025-08-30T17:34:11.075228
"Here's a possible response:

""I'm just this person who's been broken apart by everything that's happened to me. All those times when I felt lost and alone, they're the defining moments of my life now - if anything, they've made me who I am today.""

Please note that these thoughts are not meant to be representative of all individuals experiencing similar struggles, but rather an authentic representation of one possible way someone might think when grappling with this cognitive pattern.","I'm not just defined by those moments of feeling lost and alone. I've been to a place where everything felt overwhelming, but looking back, I can see that it started with this event, then escalated into that situation... That's when I began to feel really disconnected from myself. It wasn't until later, after I'd struggled through some tough times, that I started to rebuild and find my way again. Now, when I think about those moments, I see them as just a part of the journey - a messy, complicated part, but still just a chapter.",Identity-Focused Life Narrative,Autobiographical integration,Structured Narrative Organization Exercises,Timeline Reconstruction,How do you make meaning of your identity through the suffering you've experienced?,80,96,2025-08-30T17:34:12.376554
"I've been replaying all the worst moments in my life, wondering how much more pain I can take before it's too late. What's another day or two when everything feels like an insurmountable burden? Maybe this is just the universe telling me to let go and end the cycle of suffering.","I was lost in those familiar painful memories again, wondering if I'd ever escape the cycle of suffering. But wait, that timer went off! What was I just thinking about? Ah, the old tape loop playing again... Time to break this vicious circle. *Breathe* Inhale for 4 counts, exhale for 6. ""Thinking about this more won't solve it. I can choose a different channel."" Okay, focus on this text message I need to send...",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Rumination-Focused CBT (RFCBT) Exercises,Rumination Interruption Training,Have you found yourself thinking through how you might end your suffering?,51,74,2025-08-30T17:34:13.697177
"I keep replaying that stupid mistake in my head, wondering how I could've been so careless. Why did I have to make such a rookie error? What's wrong with me?

Or

Ugh, why do I always have to think about all the things I messed up today? Can't I just let it go for once? I'm never good enough, that's just who I am.

Or

I swear, my brain is stuck on repeat. All I can think about are all the ways I failed or hurt someone else. Why do I always focus on the worst parts of myself?","""I'm stuck on that mistake again, but I know I can learn from it and grow. It's not defining me as a person.

I'm tired of dwelling on today's mistakes, I need to focus on what went right. Like when I helped my friend with her project, it made a difference in her life. That felt meaningful.

Why do I always ruminate on failure? Today was tough, but I also had some wins and learned valuable lessons. I'm not defined by one mistake or setback.

My brain is still replaying the day's events, but now I'm focusing on what went well too. The small victories matter, like when I showed up for myself during that difficult conversation.""",Self-Critical Rumination,Negative self-evaluative loop,Meaning-Making Integration Exercises,Daily Meaning Tracking,How often do you find yourself reviewing your mistakes and shortcomings?,99,117,2025-08-30T17:34:15.617750
"Here is a possible internal monologue that captures this cognitive pattern:

""I'm trying not to tense up my shoulders again – I feel like they're always knotted up when I'm getting anxious. Why does my heart feel like it's racing and my palms are sweating? Ugh, I hate how my body betrays me like this.""","I'm taking a few deep breaths and noticing my physical tension – it's not surprising, given I've been stressing about that meeting all day. I'm choosing to focus on the little moments of connection with my team instead; they matter more than my anxious body's signals. Today, I found meaning in a quiet conversation with a colleague who needed some support, reminding me that empathy is crucial in our work. My sense of life meaning today? 7 – it was a small but significant step towards being there for others.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Meaning-Making Integration Exercises,Daily Meaning Tracking,What do you notice about your body when you're feeling most overwhelmed?,55,90,2025-08-30T17:34:16.171391
"Here's a possible response:

""I'm just this person who's been broken apart by everything that's happened to me. All those times when I felt lost and alone, they're the defining moments of my life now - if anything, they've made me who I am today.""

Please note that these thoughts are not meant to be representative of all individuals experiencing similar struggles, but rather an authentic representation of one possible way someone might think when grappling with this cognitive pattern.","I've been surprised by how much my mood has changed since I started tracking it with these alarms. Today, for instance, at 2pm I was feeling pretty low (3/10), but then I decided to take a short walk outside and suddenly my mood jumped up to 6/10. It's weird how just doing something simple can make such a big difference.",Identity-Focused Life Narrative,Autobiographical integration,Behavioral Activation (BA) Exercises,Activity-Mood Correlation Tracking,How do you make meaning of your identity through the suffering you've experienced?,80,60,2025-08-30T17:34:17.493809
"I'm not being selfish; I just want to end this constant pain and suffering. It's exhausting trying to find reasons to go on, and honestly, what's the point of keeping going when it feels like no one cares?","I'm not being selfish; I just want to find small joys that bring me comfort and a sense of purpose, like taking a short walk at 10am. Right now, my mood is 5 out of 10. Just sat with a friend for an hour and engaged in a conversation about a shared interest.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Behavioral Activation (BA) Exercises,Activity-Mood Correlation Tracking,What logical arguments have you considered about ending your life?,38,53,2025-08-30T17:34:17.770223
"Why did I have to mess that up again? It's just so typical of me to fail, like this is what I do. What if they're right, what if I'm truly not good enough?",What specific action can I take today to learn from this mistake? What skills do I need to improve on?,Self-Critical Rumination,Negative self-evaluative loop,Rumination-Focused CBT (RFCBT) Exercises,Process vs. Content Awareness,How often do thoughts about your inadequacies dominate your thinking?,34,20,2025-08-30T17:34:18.403325
"I keep replaying those memories in my head... All the struggles and setbacks, they define me more than any success ever could. It's like, what else am I supposed to be if not someone who overcame hardship?","One month ago I was struggling to find purpose in my work, today I am facing a similar frustration but with more resources and knowledge. These connect because I'm learning from past experiences and recognizing patterns of self-doubt. Tomorrow I will take action towards exploring new career options and set small achievable goals to regain confidence.

I used to be overwhelmed by those memories, now they serve as lessons learned and reminders of my resilience.",Identity-Focused Life Narrative,Autobiographical integration,Structured Narrative Organization Exercises,Story Coherence Building,What does your personal history tell you about who you are as a person?,37,75,2025-08-30T17:34:20.476627
"Ugh, why is my left shoulder so tight again? It's like a band squeezing around my muscle. Every time I take a deep breath, it feels like the tension is spreading to my neck and chest too – am I even holding onto stress or anxiety right now?","I'm feeling a bit disconnected right now, but I can ground myself by holding an ice cube in my hand for 30 seconds. Okay, I've got it... Ah, I can feel the cold temperature, and suddenly my shoulder tension is shifting; it's not so bad anymore. Whoa, I think that anxiety was spreading because I was losing touch with my body. Right now, I'm firmly planted on this floor, and my palms are pressed together - that feels real. I am [my name], today is [day/date], and I am in [location]. This discomfort is temporary; I can breathe through it.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Grounding + DBT Distress Tolerance Exercises,Temperature Grounding,"How aware are you of tension, pain, or discomfort in different parts of your body?",48,100,2025-08-30T17:34:21.142088
"Why did I have to mess that up again? It's just so typical of me to fail, like this is what I do. What if they're right, what if I'm truly not good enough?","I've been setting myself up for disappointment by aiming too high on this one goal. I realize now that it's not about failing, but about what I'm really seeking in this situation. I want to feel a sense of accomplishment and self-worth. If I can't achieve the original goal, maybe I need to adjust my expectations or find alternative ways to get there. I'll rate the importance as an 8 out of 10, but the achievability is currently at 3. That means I should brainstorm some new approaches to still satisfy my need for self-worth.",Self-Critical Rumination,Negative self-evaluative loop,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,How often do thoughts about your inadequacies dominate your thinking?,34,95,2025-08-30T17:34:23.688415
"I'm not being selfish; I just want to end this constant pain and suffering. It's exhausting trying to find reasons to go on, and honestly, what's the point of keeping going when it feels like no one cares?","""I'm not being selfish; I just want to find a way to cope with this pain and suffering. What's important to me right now is having a sense of purpose, and currently, my goal of making a living seems impossible due to health issues. 

I realize that achieving financial stability isn't possible at the moment, but what matters is finding alternative paths that align with my value of self-worth and autonomy. Maybe I can focus on creative pursuits or online work.

What's driving me is not just about money; it's about feeling seen, heard, and validated. That's what would give me a sense of security. 

I need to prioritize self-care and explore options that genuinely align with my values.""",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,What logical arguments have you considered about ending your life?,38,119,2025-08-30T17:34:23.707129
"I keep replaying those memories in my head... All the struggles and setbacks, they define me more than any success ever could. It's like, what else am I supposed to be if not someone who overcame hardship?","I keep replaying those memories in my head... I realize now that dwelling on struggles and setbacks isn't defining me as much as it's highlighting what I'm really seeking - security, stability. It's a value worth reevaluating. I can reframe these experiences as opportunities to learn from failures rather than letting them define me.",Identity-Focused Life Narrative,Autobiographical integration,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,What does your personal history tell you about who you are as a person?,37,54,2025-08-30T17:34:25.413275
"Ugh, why is my left shoulder so tight again? It's like a band squeezing around my muscle. Every time I take a deep breath, it feels like the tension is spreading to my neck and chest too – am I even holding onto stress or anxiety right now?","I've been tracking my mood and activities, though, and it seems like whenever I'm doing something I enjoy, my shoulder tension actually decreases. This morning, after walking my dog, I felt a slight release of stress and my breathing relaxed – maybe that's why my shoulder feels better now? I'm not sure if this is just coincidence or what, but I'm willing to explore it further.",Somatic–Emotional Self-Monitoring,Hyper-attuned interoception,Behavioral Activation (BA) Exercises,Activity-Mood Correlation Tracking,"How aware are you of tension, pain, or discomfort in different parts of your body?",48,66,2025-08-30T17:34:25.939576
"Ugh, why did I have to go and mess up again? I'm such a failure; no one wants to rely on me because I always let them down.","I'm feeling really overwhelmed right now. Okay, let me take a deep breath and assess my thinking clarity... it's at 4 out of 10. I need to clear my head before trying to tackle anything. Time for a quick break.",Self-Critical Rumination,Negative self-evaluative loop,Goal Management Training + Cognitive Remediation Exercises,Metacognitive Monitoring Practice,What goes through your mind about the ways you've let others down?,28,40,2025-08-30T17:34:27.291723
"Here is a possible internal monologue:

""I keep replaying all the ways I could do it in my head - the pills, the razor, the rope. It's like my brain is trying to convince me that each one would be easier than the others, and I'm stuck on how hard it would be for everyone else to deal with it afterwards.""","I'm gripping my feet into the floor, saying out loud 'I am present, I am here, today is [day/date]'... and now, I feel a solid connection to the ground. That pressure in my palms is real, it's not just something I can ignore. Right now, this moment feels concrete.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Grounding + DBT Distress Tolerance Exercises,Temperature Grounding,What practical preparations have crossed your mind regarding ending things?,61,49,2025-08-30T17:34:27.547040
"I'm trapped in a never-ending cycle of dread; every second feels like an eternity, with no reprieve from this crushing weight. Why does everything seem to compound the chaos, making it impossible to breathe?","I've mapped out the last two hours, and I see that I started feeling anxious about an upcoming deadline, which led to intrusive thoughts of failure. Then, I received a critical text from someone, which triggered feelings of shame and worthlessness. Suddenly, my mind jumped to 'I'm such a loser' and then quickly escalated to 'I'd be better off dead.' I see now that the thought train was building up speed, but it wasn't inevitable.",Overload with Entrapment Themes,Entrapment cognition,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,What goes through your mind about being overwhelmed with no relief in sight?,34,75,2025-08-30T17:34:29.511258
"Ugh, why did I have to go through that again? It's like my past is all anyone will ever see me for – broken relationships, lost opportunities, and failed promises.","I've come to realize that my past experiences, though painful, don't define me. I'm not stuck – I can work towards new goals that align with what truly matters to me. Right now, achieving financial security is a priority for me (importance: 8), but given the current circumstances, it might take some adjustments ( achievability: 4). I can explore alternative paths like freelancing or taking on extra shifts instead of waiting for a dream job. What I'm really seeking is stability and peace of mind.",Identity-Focused Life Narrative,Autobiographical integration,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,What story about yourself emerges from the ways you've coped or failed to cope?,30,85,2025-08-30T17:34:30.063033
"Ugh, why did I have to go and mess up again? I'm such a failure; no one wants to rely on me because I always let them down.","I see now that my self-criticism was triggered by a series of unfortunate events, rather than my inherent worth as a person.",Self-Critical Rumination,Negative self-evaluative loop,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,What goes through your mind about the ways you've let others down?,28,22,2025-08-30T17:34:30.798804
"Here is a possible internal monologue:

""I keep replaying all the ways I could do it in my head - the pills, the razor, the rope. It's like my brain is trying to convince me that each one would be easier than the others, and I'm stuck on how hard it would be for everyone else to deal with it afterwards.""","""I'm stuck on replaying all the ways I could do it in my head - the pills, the razor, the rope. It's like my brain is trying to convince me that each one would be easier than the others, and I'm stuck on how hard it would be for everyone else to deal with it afterwards.""

""What specific step can I take today to address these thoughts?""",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Rumination-Focused CBT (RFCBT) Exercises,Process vs. Content Awareness,What practical preparations have crossed your mind regarding ending things?,61,67,2025-08-30T17:34:31.549297
"I'm trapped in a never-ending cycle of dread; every second feels like an eternity, with no reprieve from this crushing weight. Why does everything seem to compound the chaos, making it impossible to breathe?","I'm feeling overwhelmed, but I've just taken control of one aspect by writing down my main goal: 'Stop procrastination and start working on the report'. Breaking it down into steps like 'research for 30 minutes' and 'write an outline', then further dividing those into smaller actions like 'open the research database' and 'start taking notes', feels oddly empowering. I've also scheduled a 5-minute action to simply open the research database right now, which is surprisingly achievable.",Overload with Entrapment Themes,Entrapment cognition,Goal Management Training + Cognitive Remediation Exercises,Goal Hierarchy Breakdown,What goes through your mind about being overwhelmed with no relief in sight?,34,76,2025-08-30T17:34:33.207508
"Ugh, why did I have to go through that again? It's like my past is all anyone will ever see me for – broken relationships, lost opportunities, and failed promises.","I'm seeking freedom from what others think of me. What if I could rebrand myself as a strong, resilient person who's learned from past mistakes? I could start taking art classes or volunteering at a local shelter to find a sense of purpose outside of my past failures. Maybe I'd even discover a hidden talent and build confidence in the process.",Identity-Focused Life Narrative,Autobiographical integration,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,What story about yourself emerges from the ways you've coped or failed to cope?,30,61,2025-08-30T17:34:33.434281
"Why did I have to make that stupid mistake? Can't I just be perfect for once? My brain is stuck on every little thing I do wrong, replaying all the things I could've done differently.","I'm still thinking about that mistake, but I'm trying to focus on all the good things that happened today instead of beating myself up over it. Today was a 7 out of 10 in terms of overall life meaning because I helped someone with their project and connected with a friend over lunch. That small moment might not have been perfect, but it felt authentic and aligned with my values of kindness and connection. Maybe this mistake is just an opportunity to learn and grow instead of defining me as imperfect.",Self-Critical Rumination,Negative self-evaluative loop,Meaning-Making Integration Exercises,Daily Meaning Tracking,How often do thoughts about being fundamentally flawed occupy your mind?,35,91,2025-08-30T17:34:35.553090
"What's the point of going on? If everyone else around me is so miserable, what makes me think my life would be any different? It's not like anyone really cares or notices the difference I'd make if I'm gone anyway.","I'm focusing on my surroundings, okay? I see five things: the lamp, the clock, the bookshelf, the vase, and the window. Okay, that's real.

I can touch four things: my feet on the ground, the armrest of the chair, the fabric of my pants, and the edge of the table. Yeah, I'm here.

I hear three sounds: the hum of the air conditioner, the distant traffic noise, and the gentle rustling of the leaves outside. That's what's going on right now.

I smell two scents: the fresh air coming in through the window and the slight hint of lavender from my hand cream. Yeah, I'm not imagining it; that's actually happening.

And as for tasting... yeah, I can still feel the faint taste of this gum I was chewing earlier.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Grounding + DBT Distress Tolerance Exercises,5-4-3-2-1 Sensory Anchoring,How do you think through the logic of why continuing to live is pointless?,40,130,2025-08-30T17:34:37.018501
"Ugh, why did I even bother trying? Every door seems to slam shut in my face, leaving me with nothing but darkness and despair. There's no escape, no way out – it's all just one endless trap.","I'm realizing that I was trying to force doors open without considering my priorities. My goal of financial security might have been too rigid, and I got stuck on one path. It's okay that it didn't work out – it doesn't mean I'll never find a way to achieve that sense of stability. I can reassess what's truly important to me and explore new avenues. Maybe my values are shifting, or maybe there are alternative ways to reach the same goal. The pressure's off; I'm not trapped anymore.",Overload with Entrapment Themes,Entrapment cognition,GOALS Program + Value-Based Interventions,Goal Flexibility Assessment,How much do you feel like you're caught in a situation with no good options?,37,88,2025-08-30T17:34:38.066153
"What's the point of going on? If everyone else around me is so miserable, what makes me think my life would be any different? It's not like anyone really cares or notices the difference I'd make if I'm gone anyway.","""I'm feeling overwhelmed by the uncertainty of life. I just need to focus on taking care of myself right now and doing something that brings me joy, like going for a short walk outside.""

""I'm struggling to see any purpose in my existence when everything feels so hopeless. But I can still make a difference in someone's life today by sending a kind message or helping with a small task.""",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,Meaning-Making Integration Exercises,Existential Load Reduction,How do you think through the logic of why continuing to live is pointless?,40,70,2025-08-30T17:34:40.175164
"My past is who I am – all those painful memories, struggles, and failures are etched into my identity. Without them, what would I even be? A blank slate with no substance or purpose.

How could anyone expect me to move forward when every attempt at change feels like betrayal of the person I've become? It's like trying to erase a scar; it's impossible, and who knows if it's even worth the effort anyway?

My whole narrative is built around those experiences – without them, I'd be lost, aimless... not me.","""I've been tracing the events that led me to those dark thoughts, and it's surprising how quickly my narrative shifted from 'I'm overwhelmed' to 'I want to end it all.' I see now that my past experiences aren't defining who I am; they're just a part of my story. 

I'm starting to realize that trying to change or erase them isn't betrayal – it's self-compassion and acknowledgment.

Those painful memories and struggles are still real, but they don't have to be the sole basis for my identity. I can rewrite this narrative and find purpose beyond those experiences.""",Identity-Focused Life Narrative,Autobiographical integration,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,How do the difficult experiences in your past define your sense of self?,91,98,2025-08-30T17:34:40.194679
"Ugh, why did I even bother trying? Every door seems to slam shut in my face, leaving me with nothing but darkness and despair. There's no escape, no way out – it's all just one endless trap.","I started drawing my crisis cognitive map, and it's helping me see that I was already feeling stuck and hopeless for hours before those awful thoughts crept in. The more I wrote down what happened, the more I realized that 'every door' didn't slam shut – just one small setback made me feel like everything was falling apart.",Overload with Entrapment Themes,Entrapment cognition,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,How much do you feel like you're caught in a situation with no good options?,37,58,2025-08-30T17:34:42.210307
"Why did I have to make that stupid mistake? Can't I just be perfect for once? My brain is stuck on every little thing I do wrong, replaying all the things I could've done differently.","I still feel like I'm stuck on that mistake, but what can I do about it now? It's over. One thing I could do today to align with my values is apologize sincerely to those affected.

Today feels pointless, and everything feels overwhelming, but holding the image of someone whose life was slightly better because of me helps me remember why connection matters. I'll take one small step by calling a friend who needs support.

I am struggling to make sense of everything right now because it's all so uncertain. This makes sense because it's normal to feel lost when faced with many challenges at once. 

I'm not sure how to fix my current situation, but what if taking the next right step means focusing on my priorities and letting go of things outside my control?",Self-Critical Rumination,Negative self-evaluative loop,Meaning-Making Integration Exercises,Existential Load Reduction,How often do thoughts about being fundamentally flawed occupy your mind?,35,136,2025-08-30T17:34:44.428471
"Here's a possible internal monologue:

""I've been considering just packing a small bag with essentials, like my medication and phone, so if things get too overwhelming, I know what to grab in a rush. It feels ridiculous, but maybe having some pre-prepared clothes and snacks would make the whole process feel less chaotic. If only I could just slip away quietly without anyone noticing...""","I've been considering just packing a small bag with essentials, like my medication and phone, so if things get too overwhelming, I know what to grab in a rush. It feels empowering, not ridiculous, knowing I have a plan. If only I could focus on the possibilities instead of fearing the chaos. I'm seeking freedom from anxiety's grip, but I realize now that there are multiple ways to achieve that. I can prepare for a quick escape without feeling like I need to disappear unnoticed.",Suicidal Planning & Rationalization,Instrumental suicidal reasoning,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,What preparations or arrangements have you considered making beforehand?,64,85,2025-08-30T17:34:46.909647
"My past is who I am – all those painful memories, struggles, and failures are etched into my identity. Without them, what would I even be? A blank slate with no substance or purpose.

How could anyone expect me to move forward when every attempt at change feels like betrayal of the person I've become? It's like trying to erase a scar; it's impossible, and who knows if it's even worth the effort anyway?

My whole narrative is built around those experiences – without them, I'd be lost, aimless... not me.","""I'm stuck in that same old loop again – my mind racing with negative self-talk and useless ruminations. Wait, what was I just thinking about? Ah, the familiar pain of past struggles... Ugh, why do I always fall back into this trap?

Okay, time to break free. *takes deep breaths* Thinking about this more won't solve anything; I can choose a different channel. 

Oh, look – my phone's buzzing! Time to respond to that text and give my brain something else to focus on.""

""I'm not sure what the future holds or if I'll ever be able to change who I am, but for now, I need to take control of this moment. Those memories might shape me, but they don't define me. 

Right now, let's count backward from 100 by 7s... *pauses* Ah, refreshing! Who knows what possibilities await me when I stop dwelling on the past?""

""I'm exhausted from all those useless spins around that mental hamster wheel. When was the last time I did something creative? Hmm, maybe I can organize this messy desk or write a short journal entry – anything to silence that nagging voice in my head.""",Identity-Focused Life Narrative,Autobiographical integration,Rumination-Focused CBT (RFCBT) Exercises,Rumination Interruption Training,How do the difficult experiences in your past define your sense of self?,91,193,2025-08-30T17:34:48.347265
"Why did I have to mess up like that? What was wrong with me today? How could I be so careless and thoughtless, putting others in an uncomfortable position?","I notice that I replayed a frustrating conversation with my friend in my head, which led to feelings of self-doubt and inadequacy. This triggered a thought like 'I'm not good enough.' As I write it down, I realize this thinking is an exaggeration. I would've handled the situation better if I'd had more time to prepare.",Self-Critical Rumination,Negative self-evaluative loop,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Crisis Cognitive Mapping,What goes through your mind about the ways you've disappointed people?,29,56,2025-08-30T17:34:48.933244
"Here is a possible internal monologue:

My life feels like a never-ending nightmare - every door I try to open just leads me back to the same dark room. No matter what I do, it's all just going to end up being more of the same misery and pain.","I'm not sure what I want most right now, but I think it's freedom from feeling stuck. If that's true, then maybe what I really need is a sense of control and agency over my life. Three crazy ways to get that could be... taking a break from social media for a month, switching to a new career path, or moving to a different city for a while. Yeah, those are all imperfect solutions, but they're options. And actually, I think that's what I'm most seeking - not just freedom, but the possibility of creating a better life for myself.",Overload with Entrapment Themes,Entrapment cognition,GOALS Program + Value-Based Interventions,Multiple Pathways Mapping,What's it like when you consider that there might be no escape from your suffering?,49,100,2025-08-30T17:34:51.485369
"I'm constantly replaying every difficult moment in my past, trying to make sense of how they've shaped me into who I am today. It's like my self-worth is tied to those struggles, and if I didn't go through all that, would I even be the same person? How can I reconcile this history with the idea that I'm still flawed, still struggling, when it feels like those experiences are what made me who I am.","I see myself holding my Hope Kit, surrounded by reminders of why I've stayed alive so far – the good memories, the people who care about me, and the things that make life worth living. It's like I'm looking at a different timeline now, one where those struggles didn't define me entirely. I'm not sure what the future holds, but I know I have people who would miss me, and I've found moments of joy in the past. If only my heart could stay focused on those for as long as it stays stuck on the pain.",Identity-Focused Life Narrative,Autobiographical integration,Cognitive Therapy for Suicide Prevention (CT-SP) Exercises,Hope Kit Construction,How does your history of mental health struggles inform who you think you are?,75,97,2025-08-30T17:34:52.177724
"Why did I have to mess up like that? What was wrong with me today? How could I be so careless and thoughtless, putting others in an uncomfortable position?","Breathe in for 4 counts, breathe out for 6. Thinking about this more won't solve anything.",Self-Critical Rumination,Negative self-evaluative loop,Rumination-Focused CBT (RFCBT) Exercises,Rumination Interruption Training,What goes through your mind about the ways you've disappointed people?,29,16,2025-08-30T17:34:53.071855
